索引,核酸提取编号,华大编号,提取日期,样本类型,核酸类型,样本体积(ml)/质量(mg),提取方法,浓度(ng/ul),体积(ul),冰箱位置,孔板号,孔位,提取总量(ng),成功建库使用量(ng),失败建库使用量(ng),科研项目使用量(ng),其他使用量(ng),剩余量(ng),备注,上次修改时间,创建时间
1,19P0126594,19P0126594,2000-01-01,P,cfDNA,1.5,无,0.36,42.0,无,无,无,15.12,0.0,0.0,0.0,0.0,15.12,无,2020/08/21 02:35,2020/08/21 02:35
2,19P0126593,19P0126593,2000-01-01,P,cfDNA,1.4,无,0.186,42.0,无,无,无,7.812,10.0,0.0,0.0,0.0,-2.188,无,2020/08/21 02:36,2020/08/21 02:35
3,19P0126592,19P0126592,2000-01-01,P,cfDNA,2.5,无,0.426,42.0,无,无,无,17.892,0.0,0.0,0.0,0.0,17.892,无,2020/08/21 02:35,2020/08/21 02:35
4,19P0126591,19P0126591,2000-01-01,P,cfDNA,3.4,无,2.8,42.0,无,无,无,117.6,10.0,0.0,0.0,0.0,107.6,无,2020/08/21 02:36,2020/08/21 02:35
5,19P0126590,19P0126590,2000-01-01,P,cfDNA,2.2,无,0.678,42.0,无,无,无,28.476,0.0,0.0,0.0,0.0,28.476,无,2020/08/21 02:35,2020/08/21 02:35
6,19P0126589,19P0126589,2000-01-01,P,cfDNA,1.4,无,0.484,42.0,无,无,无,20.328,0.0,0.0,0.0,0.0,20.328,无,2020/08/21 02:35,2020/08/21 02:35
7,19P0126588,19P0126588,2000-01-01,P,cfDNA,2.6,无,1.01,42.0,无,无,无,42.42,10.0,0.0,0.0,0.0,32.42,无,2020/08/21 02:36,2020/08/21 02:35
8,19P0126587,19P0126587,2000-01-01,P,cfDNA,1.4,无,0.652,42.0,无,无,无,27.384,0.0,0.0,0.0,0.0,27.384,无,2020/08/21 02:35,2020/08/21 02:35
9,19P0126586,19P0126586,2000-01-01,P,cfDNA,1.4,无,0.404,42.0,无,无,无,16.968,0.0,0.0,0.0,0.0,16.968,无,2020/08/21 02:35,2020/08/21 02:35
10,19P0126585,19P0126585,2000-01-01,P,cfDNA,3.0,无,0.362,42.0,无,无,无,15.204,0.0,0.0,0.0,0.0,15.204,无,2020/08/21 02:35,2020/08/21 02:35
11,19P0126584,19P0126584,2000-01-01,P,cfDNA,1.5,无,0.298,42.0,无,无,无,12.516,10.0,0.0,0.0,0.0,2.516,无,2020/08/21 02:36,2020/08/21 02:35
12,19P0126583,19P0126583,2000-01-01,P,cfDNA,2.4,无,0.274,42.0,无,无,无,11.508,10.0,0.0,0.0,0.0,1.508,无,2020/08/21 02:36,2020/08/21 02:35
13,19P0126582,19P0126582,2000-01-01,P,cfDNA,2.8,无,0.374,42.0,无,无,无,15.708,0.0,0.0,0.0,0.0,15.708,无,2020/08/21 02:35,2020/08/21 02:35
14,19P0126581,19P0126581,2000-01-01,P,cfDNA,3.0,无,0.48,42.0,无,无,无,20.16,0.0,0.0,0.0,0.0,20.16,无,2020/08/21 02:35,2020/08/21 02:35
15,19P0126580,19P0126580,2000-01-01,P,cfDNA,1.5,无,0.542,42.0,无,无,无,22.764,0.0,0.0,0.0,0.0,22.764,无,2020/08/21 02:35,2020/08/21 02:35
16,19P0126579,19P0126579,2000-01-01,P,cfDNA,2.9,无,0.296,42.0,无,无,无,12.432,10.0,0.0,0.0,0.0,2.432,无,2020/08/21 02:36,2020/08/21 02:35
17,19P0126578,19P0126578,2000-01-01,P,cfDNA,3.0,无,0.492,42.0,无,无,无,20.664,0.0,0.0,0.0,0.0,20.664,无,2020/08/21 02:35,2020/08/21 02:35
18,19P0126577,19P0126577,2000-01-01,P,cfDNA,2.6,无,54.2,42.0,无,无,无,2276.4,10.0,0.0,0.0,0.0,2266.4,无,2020/08/21 02:36,2020/08/21 02:35
19,19P0126576,19P0126576,2000-01-01,P,cfDNA,2.5,无,0.406,42.0,无,无,无,17.052,0.0,0.0,0.0,0.0,17.052,无,2020/08/21 02:35,2020/08/21 02:35
20,19P0126575,19P0126575,2000-01-01,P,cfDNA,3.0,无,0.436,42.0,无,无,无,18.312,0.0,0.0,0.0,0.0,18.312,无,2020/08/21 02:35,2020/08/21 02:35
21,19P0126574,19P0126574,2000-01-01,P,cfDNA,1.4,无,0.302,42.0,无,无,无,12.684,10.0,0.0,0.0,0.0,2.684,无,2020/08/21 02:36,2020/08/21 02:35
22,19P0126573,19P0126573,2000-01-01,P,cfDNA,2.4,无,0.472,42.0,无,无,无,19.824,0.0,0.0,0.0,0.0,19.824,无,2020/08/21 02:35,2020/08/21 02:35
23,19P0126572,19P0126572,2000-01-01,P,cfDNA,3.0,无,1.06,42.0,无,无,无,44.52,10.0,0.0,0.0,0.0,34.52,无,2020/08/21 02:36,2020/08/21 02:35
24,19P0126571,19P0126571,2000-01-01,P,cfDNA,4.2,无,1.08,42.0,无,无,无,45.36,10.0,0.0,0.0,0.0,35.36,无,2020/08/21 02:36,2020/08/21 02:35
25,19P0126570,19P0126570,2000-01-01,P,cfDNA,2.6,无,0.734,42.0,无,无,无,30.828,10.0,0.0,0.0,0.0,20.828,无,2020/08/21 02:36,2020/08/21 02:35
26,19P0126569,19P0126569,2000-01-01,P,cfDNA,3.2,无,0.82,42.0,无,无,无,34.44,10.0,0.0,0.0,0.0,24.44,无,2020/08/21 02:36,2020/08/21 02:35
27,19P0126568,19P0126568,2000-01-01,P,cfDNA,3.2,无,1.49,42.0,无,无,无,62.58,10.0,0.0,0.0,0.0,52.58,无,2020/08/21 02:36,2020/08/21 02:35
28,19P0126567,19P0126567,2000-01-01,P,cfDNA,2.9,无,0.748,42.0,无,无,无,31.416,10.0,0.0,0.0,0.0,21.416,无,2020/08/21 02:36,2020/08/21 02:35
29,19P0126566,19P0126566,2000-01-01,P,cfDNA,1.5,无,0.604,42.0,无,无,无,25.368,0.0,0.0,0.0,0.0,25.368,无,2020/08/21 02:35,2020/08/21 02:35
30,19P0126565,19P0126565,2000-01-01,P,cfDNA,2.9,无,0.744,42.0,无,无,无,31.248,10.0,0.0,0.0,0.0,21.248,无,2020/08/21 02:36,2020/08/21 02:35
31,19P0126564,19P0126564,2000-01-01,P,cfDNA,2.9,无,0.32,42.0,无,无,无,13.44,10.0,0.0,0.0,0.0,3.44,无,2020/08/21 02:36,2020/08/21 02:35
32,19P0126563,19P0126563,2000-01-01,P,cfDNA,3.4,无,0.564,42.0,无,无,无,23.688,0.0,0.0,0.0,0.0,23.688,无,2020/08/21 02:35,2020/08/21 02:35
33,19P0126562,19P0126562,2000-01-01,P,cfDNA,1.4,无,0.382,42.0,无,无,无,16.044,0.0,0.0,0.0,0.0,16.044,无,2020/08/21 02:35,2020/08/21 02:35
34,19P0126561,19P0126561,2000-01-01,P,cfDNA,4.3,无,1.77,42.0,无,无,无,74.34,10.0,0.0,0.0,0.0,64.34,无,2020/08/21 02:36,2020/08/21 02:35
