索引,建库编号,捕获文库名,测序文库编号,华大编号,pooling比例,取样(ng),体积(ul),备注,上次修改时间,创建时间
1,19P7247884,19P724788420200122,ssM-8-CpGiant-20200131（LZL）,19P724788420200122ssM-8-CpGiant-20200131（LZL）,1.0,250.0,10.1626016260163,无,2020/08/21 02:43,2020/08/21 02:43
2,19P7247867,19P724786720200122,ssM-8-CpGiant-20200131（LZL）,19P724786720200122ssM-8-CpGiant-20200131（LZL）,1.0,250.0,10.8695652173913,无,2020/08/21 02:43,2020/08/21 02:43
3,19P7247862,19P724786220200122,ssM-8-CpGiant-20200131（LZL）,19P724786220200122ssM-8-CpGiant-20200131（LZL）,1.0,250.0,13.7362637362637,无,2020/08/21 02:43,2020/08/21 02:43
4,19P7247850,19P724785020200122,ssM-8-CpGiant-20200131（LZL）,19P724785020200122ssM-8-CpGiant-20200131（LZL）,1.0,250.0,9.92063492063492,无,2020/08/21 02:43,2020/08/21 02:43
5,19P7247863,19P724786320200122,ssM-8-CpGiant-20200131（LZL）,19P724786320200122ssM-8-CpGiant-20200131（LZL）,1.0,250.0,10.9649122807017,无,2020/08/21 02:43,2020/08/21 02:43
6,19P7247843,19P724784320200122,ssM-8-CpGiant-20200131（LZL）,19P724784320200122ssM-8-CpGiant-20200131（LZL）,1.0,250.0,13.0208333333333,无,2020/08/21 02:43,2020/08/21 02:43
7,19P7247849,19P724784920200122,ssM-8-CpGiant-20200131（LZL）,19P724784920200122ssM-8-CpGiant-20200131（LZL）,1.0,250.0,9.92063492063492,无,2020/08/21 02:43,2020/08/21 02:43
8,19P7247861,19P724786120200122,ssM-8-CpGiant-20200131（LZL）,19P724786120200122ssM-8-CpGiant-20200131（LZL）,1.0,250.0,8.80281690140845,无,2020/08/21 02:43,2020/08/21 02:43
9,19P7247858,19P724785820200122,ssM-7-CpGiant-20200131（LZL）,19P724785820200122ssM-7-CpGiant-20200131（LZL）,1.0,250.0,7.26744186046512,无,2020/08/21 02:43,2020/08/21 02:43
10,19P7247856,19P724785620200122,ssM-7-CpGiant-20200131（LZL）,19P724785620200122ssM-7-CpGiant-20200131（LZL）,1.0,250.0,7.6219512195122,无,2020/08/21 02:43,2020/08/21 02:43
11,19P7247873,19P724787320200122,ssM-7-CpGiant-20200131（LZL）,19P724787320200122ssM-7-CpGiant-20200131（LZL）,1.0,250.0,10.4166666666667,无,2020/08/21 02:43,2020/08/21 02:43
12,19P7247866,19P724786620200122,ssM-7-CpGiant-20200131（LZL）,19P724786620200122ssM-7-CpGiant-20200131（LZL）,1.0,250.0,9.19117647058824,无,2020/08/21 02:43,2020/08/21 02:43
