"索引","核酸提取编号","华大编号","提取日期","样本类型","核酸类型","样本体积(ml)/质量(mg)","提取方法","浓度(ng/ul)","体积(ul)","冰箱位置","孔板号","孔位","提取总量(ng)","成功建库使用量(ng)","失败建库使用量(ng)","科研项目使用量(ng)","其他使用量(ng)","剩余量(ng)","备注","上次修改时间","创建时间"
"1","20P8180733","20P8180733","2000-01-01","P","cfDNA","9999","无","0.312","48","无","无","无","14.976","0","0","0","0","14.976","无","2020/08/20 06:22","2020/08/20 06:22"
"2","19P0156884","19P0156884","2000-01-01","P","cfDNA","5.2","美基磁珠标准法","4.02","42","无","无","无","168.84","0","0","0","0","168.84","无","2020/08/20 06:22","2020/08/20 06:22"
"3","19P0156883","19P0156883","2000-01-01","P","cfDNA","5.4","美基磁珠标准法","0.984","42","无","无","无","41.328","0","0","0","0","41.328","无","2020/08/20 06:22","2020/08/20 06:22"
"4","19P0156882","19P0156882","2000-01-01","P","cfDNA","5.1","美基磁珠标准法","0.942","42","无","无","无","39.564","0","0","0","0","39.564","无","2020/08/20 06:22","2020/08/20 06:22"
"5","19P0156881","19P0156881","2000-01-01","P","cfDNA","5.1","美基磁珠标准法","0.908","42","无","无","无","38.136","0","0","0","0","38.136","无","2020/08/20 06:22","2020/08/20 06:22"
"6","19P0149460","19P0149460","2000-01-01","P","cfDNA","8.8","美基磁珠标准法","1.52","45","无","无","无","68.4","10","0","0","0","58.4","无","2020/08/20 06:31","2020/08/20 06:22"
"7","19P0149461","19P0149461","2000-01-01","P","cfDNA","8.8","美基磁珠标准法","0.87","45","无","无","无","39.15","10","0","0","0","29.15","无","2020/08/20 06:31","2020/08/20 06:22"
"8","19P0149463","19P0149463","2000-01-01","P","cfDNA","3.3","美基磁珠标准法","1.08","42","无","无","无","45.36","10","0","0","0","35.36","无","2020/08/20 06:31","2020/08/20 06:22"
"9","19P0149464","19P0149464","2000-01-01","P","cfDNA","8.3","美基磁珠标准法","1.36","45","无","无","无","61.2","10","0","0","0","51.2","无","2020/08/20 06:31","2020/08/20 06:22"
"10","19P0149465","19P0149465","2000-01-01","P","cfDNA","8.9","美基磁珠标准法","0.858","45","无","无","无","38.61","10","0","0","0","28.61","无","2020/08/20 06:31","2020/08/20 06:22"
"11","19P0149467","19P0149467","2000-01-01","P","cfDNA","8.5","美基磁珠标准法","1.15","45","无","无","无","51.75","10","0","0","0","41.75","无","2020/08/20 06:31","2020/08/20 06:22"
"12","19P0149485","19P0149485","2000-01-01","P","cfDNA","8.9","美基磁珠标准法","0.86","45","无","无","无","38.7","10","0","0","0","28.7","无","2020/08/20 06:31","2020/08/20 06:22"
"13","19P0149489","19P0149489","2000-01-01","P","cfDNA","8.7","美基磁珠标准法","0.874","45","无","无","无","39.33","10","0","0","0","29.33","无","2020/08/20 06:31","2020/08/20 06:22"
"14","19P0149492","19P0149492","2000-01-01","P","cfDNA","5.3","美基磁珠标准法","0.986","42","无","无","无","41.412","10","0","0","0","31.412","无","2020/08/20 06:31","2020/08/20 06:22"
"15","19P0149501","19P0149501","2000-01-01","P","cfDNA","8.7","美基磁珠标准法","1.11","45","无","无","无","49.95","10","0","0","0","39.95","无","2020/08/20 06:31","2020/08/20 06:22"
"16","19P0149502","19P0149502","2000-01-01","P","cfDNA","8.9","美基磁珠标准法","1.02","45","无","无","无","45.9","10","0","0","0","35.9","无","2020/08/20 06:31","2020/08/20 06:22"
"17","19P0149504","19P0149504","2000-01-01","P","cfDNA","9.2","美基磁珠标准法","0.91","45","无","无","无","40.95","10","0","0","0","30.95","无","2020/08/20 06:31","2020/08/20 06:22"
"18","19P0149506","19P0149506","2000-01-01","P","cfDNA","5","美基磁珠标准法","0.866","42","无","无","无","36.372","10","0","0","0","26.372","无","2020/08/20 06:31","2020/08/20 06:22"
"19","19P0149507","19P0149507","2000-01-01","P","cfDNA","5","美基磁珠标准法","1.05","42","无","无","无","44.1","10","0","0","0","34.1","无","2020/08/20 06:31","2020/08/20 06:22"
"20","19P0156885","19P0156885","2000-01-01","P","cfDNA","9.1","美基磁珠标准法","0.852","45","无","无","无","38.34","0","0","0","0","38.34","无","2020/08/20 06:22","2020/08/20 06:22"
"21","19P0156886","19P0156886","2000-01-01","P","cfDNA","7.9","美基磁珠标准法","0.866","45","无","无","无","38.97","0","0","0","0","38.97","无","2020/08/20 06:22","2020/08/20 06:22"
"22","19P0156893","19P0156893","2000-01-01","P","cfDNA","8.4","美基磁珠标准法","0.854","45","无","无","无","38.43","0","0","0","0","38.43","无","2020/08/20 06:22","2020/08/20 06:22"
"23","19P0156895","19P0156895","2000-01-01","P","cfDNA","8.4","美基磁珠标准法","0.842","45","无","无","无","37.89","0","0","0","0","37.89","无","2020/08/20 06:22","2020/08/20 06:22"
