索引,捕获文库名,杂交日期,杂交探针,杂交时间(min),PostPCR循环数,PostPCR浓度(ng/ul),洗脱体积(ul),操作人,备注,上次修改时间,创建时间
1,ssM-4-CpGiant-20200512（YGH）,2000-01-01,无,9999.0,9,54.0,40.0,CHH,无,2020/08/20 08:29,2020/08/20 08:29
2,ssM-3-CpGiant-20200512（YGH）,2000-01-01,无,9999.0,9,69.0,40.0,LZQ、CHH,无,2020/08/20 08:29,2020/08/20 08:29
3,ssM-2-CpGiant-20200512（YGH）,2000-01-01,无,9999.0,9,43.0,40.0,LZQ、CHH,无,2020/08/20 08:29,2020/08/20 08:29
4,ssM-1-CpGiant-20200512（YGH）,2000-01-01,无,9999.0,9,62.6,40.0,LZQ、CHH,无,2020/08/20 08:29,2020/08/20 08:29
5,ssM-5-CpGiant-20200324（YGH）,2000-01-01,无,9999.0,9,32.6,40.0,LZQ、CHH,无,2020/08/20 08:29,2020/08/20 08:29
6,ssM-4-CpGiant-20200324（YGH）,2000-01-01,无,9999.0,9,37.6,40.0,LZQ、CHH,无,2020/08/20 08:29,2020/08/20 08:29
7,ssM-3-CpGiant-20200324（YGH）,2000-01-01,无,9999.0,9,38.4,40.0,LZQ、CHH,无,2020/08/20 08:29,2020/08/20 08:29
8,ssM-2-CpGiant-20200324（YGH）,2000-01-01,无,9999.0,9,50.8,40.0,LZQ、CHH,无,2020/08/20 08:29,2020/08/20 08:29
9,ssM-1-CpGiant-20200324（YGH）,2000-01-01,无,9999.0,9,35.0,40.0,LZQ、CHH,无,2020/08/20 08:29,2020/08/20 08:29
10,ssM-6-CpGiant-20200214（LZL）,2000-01-01,SeqCap Epi CpGiant Enrichment Kit,70.5,9,51.6,40.0,LZQ,无,2020/08/20 08:29,2020/08/20 08:29
11,ssM-5-CpGiant-20200214（LZL）,2000-01-01,SeqCap Epi CpGiant Enrichment Kit,70.5,9,56.0,40.0,LZQ,无,2020/08/20 08:29,2020/08/20 08:29
12,ssM-4-CpGiant-20200214（LZL）,2000-01-01,SeqCap Epi CpGiant Enrichment Kit,70.5,9,55.6,40.0,LZQ,无,2020/08/20 08:29,2020/08/20 08:29
13,ssM-3-CpGiant-20200214（LZL）,2000-01-01,SeqCap Epi CpGiant Enrichment Kit,70.5,9,48.8,40.0,LZQ,无,2020/08/20 08:29,2020/08/20 08:29
14,ssM-2-CpGiant-20200214（LZL）,2000-01-01,SeqCap Epi CpGiant Enrichment Kit,70.5,9,46.0,40.0,LZQ,无,2020/08/20 08:29,2020/08/20 08:29
15,ssM-8-CpGiant-20200131（LZL）,2000-01-01,SeqCap Epi CpGiant Enrichment Kit,65.5,10,89.2,40.0,LZQ,无,2020/08/20 08:29,2020/08/20 08:29
16,ssM-7-CpGiant-20200131（LZL）,2000-01-01,SeqCap Epi CpGiant Enrichment Kit,65.5,10,72.2,40.0,LZQ,无,2020/08/20 08:29,2020/08/20 08:29
17,ssM-6-CpGiant-20200131（LZL）,2000-01-01,SeqCap Epi CpGiant Enrichment Kit,65.5,10,77.8,40.0,LZQ,无,2020/08/20 08:29,2020/08/20 08:29
18,ssM-5-CpGiant-20200131（LZL）,2000-01-01,SeqCap Epi CpGiant Enrichment Kit,65.5,10,86.0,40.0,LZQ,无,2020/08/20 08:29,2020/08/20 08:29
19,ssM-4-CpGiant-20200131（LZL）,2000-01-01,SeqCap Epi CpGiant Enrichment Kit,65.5,10,58.6,40.0,LZQ,无,2020/08/20 08:29,2020/08/20 08:29
20,ssM-3-CpGiant-20200131（LZL）,2000-01-01,SeqCap Epi CpGiant Enrichment Kit,65.5,10,77.8,40.0,LZQ,无,2020/08/20 08:29,2020/08/20 08:29
21,ssM-2-CpGiant-20200131（LZL）,2000-01-01,SeqCap Epi CpGiant Enrichment Kit,65.5,10,58.4,40.0,LZQ,无,2020/08/20 08:29,2020/08/20 08:29
22,ssM-1-CpGiant-20200131（LZL）,2000-01-01,SeqCap Epi CpGiant Enrichment Kit,65.5,10,67.4,40.0,LZQ,无,2020/08/20 08:29,2020/08/20 08:29
23,ssM-CpGiant-6-20200116（LZL）,2000-01-01,SeqCap Epi CpGiant Enrichment Kit,67.0,10,78.6,40.0,LZQ,无,2020/08/20 08:29,2020/08/20 08:29
24,ssM-CpGiant-5-20200116（LZL）,2000-01-01,SeqCap Epi CpGiant Enrichment Kit,67.0,10,55.0,40.0,LZQ,无,2020/08/20 08:29,2020/08/20 08:29
25,ssM-CpGiant-4-20200116（LZL）,2000-01-01,SeqCap Epi CpGiant Enrichment Kit,67.0,10,51.2,40.0,LZQ,无,2020/08/20 08:29,2020/08/20 08:29
26,ssM-CpGiant-3-20200116（LZL）,2000-01-01,SeqCap Epi CpGiant Enrichment Kit,67.0,10,76.8,40.0,LZL,无,2020/08/20 08:29,2020/08/20 08:29
27,ssM-CpGiant-2-20200116（LZL）,2000-01-01,SeqCap Epi CpGiant Enrichment Kit,67.0,10,58.4,40.0,LZL,无,2020/08/20 08:29,2020/08/20 08:29
28,ssM-CpGiant-1-20200116（LZL）,2000-01-01,SeqCap Epi CpGiant Enrichment Kit,67.0,10,65.0,40.0,LZL,无,2020/08/20 08:29,2020/08/20 08:29
29,ssM-1-CpGiant-20200214（LZL）,2000-01-01,SeqCap Epi CpGiant Enrichment Kit,70.5,9,60.0,40.0,LZL,无,2020/08/20 08:29,2020/08/20 08:29
30,ssM-CpGiant-3-20200113（LZL）,2000-01-01,SeqCap Epi CpGiant Enrichment Kit,68.0,10,74.0,40.0,LZQ,无,2020/08/20 08:29,2020/08/20 08:29
31,ssM-CpGiant-2-20200113（LZL）,2000-01-01,SeqCap Epi CpGiant Enrichment Kit,68.0,10,72.8,40.0,LZQ,无,2020/08/20 08:29,2020/08/20 08:29
32,ssM-CpGiant-1-20200113（LZL）,2000-01-01,SeqCap Epi CpGiant Enrichment Kit,68.0,10,67.2,40.0,LZQ,无,2020/08/20 08:29,2020/08/20 08:29
33,ssM-CpGiant-4-20191227（LZL）,2000-01-01,SeqCap Epi CpGiant Enrichment Kit,69.5,10,52.6,40.0,LZQ,无,2020/08/20 08:29,2020/08/20 08:29
34,ssM-CpGiant-3-20191227（LZL）,2000-01-01,SeqCap Epi CpGiant Enrichment Kit,69.5,10,62.6,40.0,LZQ,无,2020/08/20 08:29,2020/08/20 08:29
35,ssM-CpGiant-2-20191227（LZL）,2000-01-01,SeqCap Epi CpGiant Enrichment Kit,69.5,10,58.2,40.0,LZQ,无,2020/08/20 08:29,2020/08/20 08:29
36,ssM-CpGiant-1-20191227（LZL）,2000-01-01,SeqCap Epi CpGiant Enrichment Kit,69.5,10,65.4,40.0,LZQ,无,2020/08/20 08:29,2020/08/20 08:29
37,ssM-CpGiant-7-20191220（LZL）,2000-01-01,SeqCap Epi CpGiant Enrichment Kit,70.0,10,41.0,40.0,LZQ,无,2020/08/20 08:29,2020/08/20 08:29
38,ssM-CpGiant-6-20191220（LZL）,2000-01-01,SeqCap Epi CpGiant Enrichment Kit,70.0,10,59.4,40.0,LZQ,无,2020/08/20 08:29,2020/08/20 08:29
39,ssM-CpGiant-5-20191220（LZL）,2000-01-01,SeqCap Epi CpGiant Enrichment Kit,70.0,10,64.4,40.0,LZQ,无,2020/08/20 08:29,2020/08/20 08:29
40,ssM-CpGiant-4-20191220（LZL）,2000-01-01,SeqCap Epi CpGiant Enrichment Kit,70.0,10,40.2,40.0,LZQ,无,2020/08/20 08:29,2020/08/20 08:29
41,ssM-CpGiant-3-20191220（LZL）,2000-01-01,SeqCap Epi CpGiant Enrichment Kit,70.0,10,51.4,40.0,LZQ,无,2020/08/20 08:29,2020/08/20 08:29
42,ssM-CpGiant-4-20191213（LZL）,2000-01-01,SeqCap Epi CpGiant Enrichment Kit,65.5,10,50.4,40.0,LZQ,无,2020/08/20 08:29,2020/08/20 08:29
43,ssM-CpGiant-2-20191220（LZL）,2000-01-01,SeqCap Epi CpGiant Enrichment Kit,70.0,10,51.4,40.0,LZQ,无,2020/08/20 08:29,2020/08/20 08:29
44,ssM-CpGiant-3-20191213（LZL）,2000-01-01,SeqCap Epi CpGiant Enrichment Kit,65.5,10,56.0,40.0,LZQ,无,2020/08/20 08:29,2020/08/20 08:29
45,ssM-CpGiant-2-20191213（LZL）,2000-01-01,SeqCap Epi CpGiant Enrichment Kit,65.5,10,48.2,40.0,LZQ,无,2020/08/20 08:29,2020/08/20 08:29
46,ssM-CpGiant-1-20191213（LZL）,2000-01-01,SeqCap Epi CpGiant Enrichment Kit,65.5,10,52.0,40.0,LZQ,无,2020/08/20 08:29,2020/08/20 08:29
47,ssM-CpGiant-4-20191209（LZL）,2000-01-01,SeqCap Epi CpGiant Enrichment Kit,71.5,10,50.0,40.0,LZQ,无,2020/08/20 08:29,2020/08/20 08:29
48,ssM-CpGiant-3-20191209（LZL）,2000-01-01,SeqCap Epi CpGiant Enrichment Kit,71.5,10,38.4,40.0,LZQ,无,2020/08/20 08:29,2020/08/20 08:29
49,ssM-CpGiant-4-20191203（LZL）,2000-01-01,SeqCap Epi CpGiant Enrichment Kit,65.0,10,42.2,40.0,LZQ,无,2020/08/20 08:29,2020/08/20 08:29
